
2025/05/24 (10:54:39) | ===> btop++ v.1.2.13
2025/05/24 (10:54:39) | ERROR: Invalid size of hex value: 19172480

2025/05/24 (10:55:09) | ===> btop++ v.1.2.13
2025/05/24 (10:55:09) | ERROR: Invalid size of hex value: 19172480

2025/05/24 (10:55:44) | ===> btop++ v.1.2.13
2025/05/24 (10:55:44) | ERROR: Invalid size of hex value: 19172480

2025/05/24 (16:43:28) | ===> btop++ v.1.2.13
2025/05/24 (16:43:28) | ERROR: Invalid size of hex value: 19172480

2025/05/25 (12:32:40) | ===> btop++ v.1.2.13
2025/05/25 (12:32:40) | ERROR: Invalid size of hex value: 19172480

2025/05/25 (12:32:46) | ===> btop++ v.1.2.13
2025/05/25 (12:32:46) | ERROR: Invalid size of hex value: 19172480

2025/05/25 (12:32:53) | ===> btop++ v.1.2.13
2025/05/25 (12:32:53) | ERROR: Invalid size of hex value: 19172480

2025/05/25 (12:33:03) | ===> btop++ v.1.2.13
2025/05/25 (12:33:03) | ERROR: Invalid size of hex value: 19172480
